Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,78.199997,79.199997,78.160004,79.059998,53.826290,10173800
2010-01-05,79.220001,79.620003,78.720001,79.620003,54.207569,10593700
2010-01-06,79.440002,80.000000,79.190002,79.629997,54.214378,11014600
2010-01-07,79.360001,79.699997,78.970001,79.330002,54.010117,9626900
2010-01-08,79.120003,79.470001,78.889999,79.470001,54.105431,5624300
2010-01-11,80.169998,81.089996,80.059998,80.879997,55.065392,11916800
2010-01-12,79.519997,80.449997,79.470001,80.410004,54.745430,12175200
2010-01-13,80.269997,80.410004,79.089996,79.800003,54.330086,10842200
2010-01-14,79.629997,79.800003,79.150002,79.550003,54.159908,6721000
2010-01-15,79.540001,79.690002,78.279999,79.230003,53.942036,13482300
2010-01-19,78.959999,79.750000,78.570000,79.680000,54.248413,8722200
2010-01-20,78.709999,78.930000,77.650002,78.150002,53.206757,8703800
2010-01-21,78.150002,78.180000,76.059998,76.239998,51.906349,12573200
2010-01-22,75.980003,76.589996,74.430000,74.589996,50.782993,13825000
2010-01-25,75.150002,75.269997,74.089996,74.550003,50.755787,9129700
2010-01-26,74.080002,74.879997,73.699997,74.150002,50.483433,10558200
2010-01-27,73.940002,74.360001,73.129997,73.699997,50.177055,13373200
2010-01-28,73.970001,74.180000,72.320000,73.239998,49.863873,12828800
2010-01-29,73.529999,74.070000,71.750000,72.120003,49.101345,15265600
2010-02-01,72.699997,73.739998,72.139999,73.580002,50.095364,11828500
2010-02-02,73.739998,74.580002,73.000000,74.449997,50.687668,12947600
2010-02-03,74.180000,74.360001,73.050003,73.209999,49.843441,14540300
2010-02-04,72.559998,72.830002,71.059998,71.370003,48.590710,15248400
2010-02-05,71.000000,71.239998,69.550003,71.180000,48.461372,17307000
2010-02-08,71.239998,71.449997,70.129997,70.129997,47.746494,11595600
2010-02-09,70.889999,72.029999,70.820000,71.309998,48.549873,13051900
2010-02-10,71.019997,71.230003,70.000000,70.750000,48.168613,11618700
2010-02-11,70.720001,72.110001,70.309998,71.730003,48.835823,11273800
2010-02-12,70.540001,71.300003,70.169998,71.010002,48.808331,13809100
2010-02-16,71.989998,73.320000,71.930000,72.989998,50.169273,14230800
2010-02-17,73.220001,73.430000,72.459999,72.839996,50.066162,8728000
2010-02-18,72.690002,73.720001,72.339996,73.620003,50.602306,9848000
2010-02-19,73.440002,74.379997,73.209999,74.050003,50.897873,13113200
2010-02-22,74.169998,74.220001,72.790001,72.959999,50.148647,8683400
2010-02-23,72.599998,72.930000,71.769997,72.040001,49.516296,11907600
2010-02-24,72.120003,72.449997,71.610001,72.339996,49.722496,8921000
2010-02-25,71.190002,72.190002,70.779999,72.110001,49.564407,11761100
2010-02-26,72.190002,72.690002,71.820000,72.300003,49.695011,8978800
2010-03-01,72.629997,73.180000,72.389999,72.809998,50.045547,7428100
2010-03-02,73.180000,73.910004,73.010002,73.320000,50.396088,9257200
2010-03-03,73.629997,73.849998,73.059998,73.129997,50.265503,8194200
2010-03-04,73.070000,73.500000,72.709999,73.080002,50.231136,9419900
2010-03-05,73.550003,74.470001,73.510002,74.300003,51.069698,8750200
2010-03-08,74.489998,74.879997,74.150002,74.639999,51.303394,6474000
2010-03-09,74.300003,74.910004,74.000000,74.300003,51.069698,8480100
2010-03-10,74.139999,74.330002,73.250000,73.959999,50.835991,14652900
2010-03-11,74.070000,74.089996,73.550003,73.989998,50.856609,7024700
2010-03-12,74.169998,74.239998,73.510002,73.720001,50.671028,7681900
2010-03-15,73.510002,73.629997,72.849998,73.570000,50.567917,8807600
2010-03-16,73.900002,74.120003,73.410004,73.980003,50.849743,9828300
2010-03-17,74.180000,75.059998,74.160004,74.669998,51.324009,10292000
2010-03-18,74.849998,75.070000,74.239998,74.760002,51.385883,9916100
2010-03-19,74.980003,75.160004,73.889999,74.980003,51.537090,16610700
2010-03-22,74.169998,74.879997,74.000000,74.459999,51.179668,9317900
2010-03-23,74.430000,74.790001,74.029999,74.769997,51.392754,8006700
2010-03-24,74.269997,74.500000,73.779999,73.930000,50.815380,8997600
2010-03-25,74.400002,74.620003,73.690002,73.800003,50.726025,10510300
2010-03-26,74.000000,74.879997,73.820000,74.430000,51.159054,10411500
2010-03-29,74.610001,75.440002,74.489998,75.230003,51.708923,8818000
2010-03-30,75.269997,75.500000,74.959999,75.300003,51.757050,6378100
2010-03-31,75.470001,76.139999,75.080002,75.830002,52.121338,9875500
2010-04-01,76.400002,77.129997,76.339996,76.690002,52.712429,7859300
2010-04-05,76.970001,77.750000,76.730003,77.660004,53.379181,8108600
2010-04-06,77.570000,78.000000,77.199997,77.879997,53.530380,6490000
2010-04-07,77.669998,77.830002,76.959999,77.370003,53.179840,9431400
2010-04-08,76.930000,78.000000,76.629997,77.660004,53.379181,6880500
2010-04-09,78.040001,79.620003,78.000000,79.500000,54.643894,9804100
2010-04-12,79.500000,80.800003,79.370003,80.430000,55.283104,10000000
2010-04-13,80.419998,80.570000,79.269997,80.209999,55.131901,7978500
2010-04-14,80.459999,80.610001,80.029999,80.580002,55.386215,7290400
2010-04-15,80.610001,81.760002,80.510002,81.589996,56.080448,9702500
2010-04-16,81.459999,81.900002,80.279999,80.750000,55.503067,12861900
2010-04-19,80.250000,81.500000,80.050003,81.320000,55.894859,9335900
2010-04-20,81.820000,82.360001,81.660004,82.050003,56.396610,11470000
2010-04-21,82.300003,82.669998,81.239998,81.919998,56.307259,9416400
2010-04-22,81.110001,81.449997,80.639999,81.199997,55.812382,9421100
2010-04-23,81.040001,82.769997,80.949997,82.669998,56.822746,9918100
2010-04-26,82.519997,83.139999,82.339996,82.589996,56.767765,9792600
2010-04-27,82.080002,82.510002,80.070000,80.230003,55.145638,13042800
2010-04-28,80.620003,80.919998,79.849998,80.620003,55.413731,12115700
2010-04-29,81.190002,82.989998,81.190002,82.290001,56.561565,12274500
2010-04-30,82.370003,83.129997,81.290001,81.440002,55.977348,13910300
2010-05-03,81.959999,83.410004,81.330002,82.830002,56.932735,11650700
2010-05-04,82.010002,82.239998,79.629997,80.760002,55.509933,16274300
2010-05-05,79.690002,80.730003,79.449997,80.190002,55.118168,13028600
2010-05-06,79.410004,80.209999,71.500000,77.199997,53.062988,21059200
2010-05-07,77.220001,78.610001,76.410004,77.099998,52.994270,21866100
2010-05-10,79.370003,80.559998,78.529999,79.889999,54.911945,14661800
2010-05-11,79.639999,80.750000,79.489998,79.699997,54.781353,12018600
2010-05-12,79.769997,80.459999,79.360001,80.059998,55.028801,9257800
2010-05-13,79.800003,80.059998,78.750000,78.919998,54.245232,10839600
2010-05-14,78.419998,78.489998,76.980003,77.830002,53.496021,13602800
2010-05-17,77.389999,77.949997,75.949997,77.730003,53.926147,14694000
2010-05-18,78.309998,78.669998,76.389999,76.849998,53.315655,15321500
2010-05-19,76.349998,77.000000,75.540001,76.599998,53.142185,10773200
2010-05-20,75.040001,75.400002,73.529999,73.599998,51.060917,17879100
2010-05-21,72.349998,74.650002,72.000000,74.480003,51.671417,15919100
2010-05-24,74.220001,74.379997,73.309998,73.440002,50.949924,10540700
2010-05-25,71.739998,72.690002,70.800003,72.570000,50.346336,22304600
2010-05-26,73.190002,73.500000,71.440002,71.550003,49.638695,16888700
2010-05-27,73.129997,74.360001,72.300003,74.360001,51.588181,15252900
2010-05-28,74.000000,74.400002,73.040001,73.870003,51.248215,14445500
2010-06-01,73.559998,74.519997,72.290001,72.290001,50.152084,13966400
2010-06-02,72.660004,74.129997,72.120003,74.129997,51.428616,15674100
2010-06-03,74.660004,74.750000,73.139999,73.910004,51.275986,14278800
2010-06-04,72.150002,72.709999,70.800003,71.279999,49.451393,18133300
2010-06-07,71.660004,72.489998,71.190002,71.349998,49.499958,12324200
2010-06-08,71.680000,71.730003,69.820000,71.019997,49.271004,16572400
2010-06-09,71.169998,72.389999,70.599998,70.790001,49.111454,14074500
2010-06-10,72.870003,74.169998,72.690002,74.169998,51.456352,13937400
2010-06-11,73.480003,74.059998,72.790001,74.059998,51.380035,8346000
2010-06-14,74.230003,75.540001,74.160004,74.180000,51.463299,11948000
2010-06-15,74.570000,75.260002,74.180000,75.230003,52.191750,11760200
2010-06-16,74.610001,75.389999,74.449997,74.949997,51.997478,10424400
2010-06-17,75.019997,75.489998,74.199997,75.320000,52.254189,11113500
2010-06-18,75.470001,75.750000,74.900002,75.519997,52.392918,13680200
2010-06-21,76.809998,77.250000,75.290001,75.720001,52.531673,9347000
2010-06-22,75.449997,75.720001,73.879997,74.000000,51.338421,10576400
2010-06-23,73.839996,73.900002,72.150002,72.260002,50.131260,14876400
2010-06-24,71.800003,72.129997,70.699997,70.830002,49.139194,14188300
2010-06-25,71.129997,71.129997,69.879997,70.059998,48.604992,20472800
2010-06-28,70.559998,70.570000,69.629997,69.959999,48.535622,10873900
2010-06-29,69.199997,69.389999,68.000000,68.360001,47.425591,16421100
2010-06-30,68.220001,69.059998,67.800003,67.860001,47.078716,12871000
2010-07-01,68.190002,68.300003,66.830002,67.480003,46.815090,16335700
2010-07-02,67.790001,68.150002,66.870003,67.309998,46.697151,9143600
2010-07-06,68.279999,68.320000,66.860001,67.559998,46.870583,15039500
2010-07-07,67.820000,69.500000,67.489998,69.449997,48.181797,15691100
2010-07-08,70.180000,70.690002,69.209999,70.410004,48.847828,13478900
2010-07-09,70.459999,72.000000,70.050003,71.839996,49.839893,11390300
2010-07-12,71.529999,72.129997,71.349998,71.849998,49.846848,7352000
2010-07-13,72.989998,73.580002,72.500000,73.230003,50.804237,13751300
2010-07-14,73.010002,73.120003,72.349998,73.050003,50.679344,11750500
